合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
30	Oremon Cha-rangers	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	10	0	0	0	10	0	10	0	1	0	1	0	2	481	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
30	Oremon Cha-rangers	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	10	0	0	0	10	0	10	0	1	0	0	0	2	481	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
60	ＳＵＮ	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	20	20	0	0	10	0	10	0	2	0	2	0	7	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
0	LINQ	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	0	0	0	0	0	0	0	0	0	0	3	194	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
15	seek	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	0	0	10	0	5	0	0	0	0	0	4	284	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
280	しーぼーぐ	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	50	50	20	10	30	0	20	0	5	0	5	0	0	482	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
20	DMS-空	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	0	0	10	0	10	0	0	0	0	0	3	478	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
40	DMS-空	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	20	0	10	0	10	0	0	0	0	0	3	478	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
495	埼玉県立川越高等学校物理部	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	125	60	20	10	30	0	20	0	8	0	7	0	0	445	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
665	埼玉県立川越高等学校物理部	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	125	70	20	10	30	0	20	0	8	0	8	0	0	445	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
30	MAC Robot Team	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	10	10	0	0	10	0	0	0	1	0	1	0	8	157	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
0	MAC Robot Team	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
485	Atlantis	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	125	60	20	10	30	0	20	0	8	0	6	0	0	465	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
95	中央中等W	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	20	20	20	10	20	0	5	0	2	0	2	0	8	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
100	DMS-鷹	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	35	20	0	0	10	0	15	0	2	0	2	0	2	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	減速バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
30	聖徳太子１号	ロボカップジャパンオープン2016愛知 RescueMeiz(メイズ)	meiz	10	10	0	0	10	0	0	0	1	0	1	0	2	479	
