合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
305	埼玉県立川越高等学校物理部	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	65	50	20	0	0	0	0	6	0	5	0	0	228	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
25	MAC Robot Team	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	20	0	0	0	0	5	0	2	0	0	0	5	304	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
300	seek	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	75	60	0	0	30	15	0	6	0	6	0	0	461	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
310	[*]seek	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	75	60	0	10	30	15	0	6	0	6	0	0	461	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
180	LINQ	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	50	40	0	10	20	20	0	5	0	4	0	5	480	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
525	Atlantis	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	125	80	20	10	30	20	0	8	0	8	0	0	476	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
0	聖徳太子１号	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	0	0	0	0	0	0	0	0	0	0	0	1	156	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
505	埼玉県立川越高等学校物理部	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	125	70	20	10	30	20	0	8	0	7	0	0	455	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
40	Oremon Cha-rangers	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	10	0	0	10	10	10	0	1	0	0	0	3	479	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
90	DMS-空	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	10	0	20	10	30	20	0	1	0	0	0	3	486	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
35	中央中等W	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	35	0	0	0	0	0	0	2	0	0	0	7	475	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
355	しーぼーぐ	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	75	60	20	10	30	20	0	6	0	6	0	4	417	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
115	DMS-鷹	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	35	20	20	10	20	0	0	2	0	2	0	3	481	
合計	チーム名	大会名	field	被災者	レスキューキット	坂登り	坂下り	チェックポイント	バンプ	被災者数scoa	被災者数count	レスキューキット数scoa	レスキューキット数count	競技進行の停止scoa	競技進行の停止count	競技時間	
225	ＳＵＮ	ロボカップジャパンオープン2016愛知 RescueMaze(メイズ)	meiz	65	50	0	10	30	10	0	5	0	5	0	4	491	
